id,interseccion,latitud,longitud,coordenadas
88,Av. Hidalgo - Eje Central Lázaro Cárdenas,19.4362299,-99.1406653,"19.4362299,-99.1406653"
89,Av. Paseo de la Reforma - Monte Elbruz,19.4271763,-99.2003775,"19.4271763,-99.2003775"
90,Av. Paseo de la Reforma - Av. Grutas,19.424583,-99.1849027,"19.424583,-99.1849027"
91,Av. Ceylán - Calle Madeira,19.475584,-99.1624074,"19.475584,-99.1624074"
92,Av. Ceylán - Eje 5 Nte. Poniente 140,19.4993262,-99.1721428,"19.4993262,-99.1721428"
93,Av. Ceylan-Ibiza,19.473898,-99.161684,"19.473898,-99.161684"
94,Av. Ceylán - Pte. 148,19.5059539,-99.174662,"19.5059539,-99.174662"
95,Av. Insurgentes - Álvaro Obregón,19.4172812,-99.1648576,"19.4172812,-99.1648576"
96,Av. Insurgentes - Eje 2 Sur Yucatán - Eje 3 Pte Medellín - Popocatépetl - Guanajuato,19.4156805,-99.165244,"19.4156805,-99.165244"
97,Eje 1 Nte - Av. Insurgentes,19.446285,-99.1530773,"19.446285,-99.1530773"
98,Eje 1 Nte - Jesús García,19.4461888,-99.1527616,"19.4461888,-99.1527616"
99,Av. Chapultepec - Florencia,19.4232388,-99.165702,"19.4232388,-99.165702"
100,Av. Chapultepec - Varsovia,19.4228949,-99.1671995,"19.4228949,-99.1671995"
101,Eje 1 Pte. Guerrero y Av. Flores Magón,19.4524522,-99.1457667,"19.4524522,-99.1457667"
102,División del Norte y Eje 5 Sur,19.3860334,-99.1612306,"19.3860334,-99.1612306"
103,División del Norte y Eje 6 Sur,19.3813895,-99.1598642,"19.3813895,-99.1598642"
104,Anillo Periférico Canal de San Juan y Eje 5 Sur Leyes de Reforma,19.376118,-99.0594127,"19.376118,-99.0594127"
105,Eje 7 Sur Municipio Libre y Av. División del Norte,19.3702673,-99.1566919,"19.3702673,-99.1566919"
106,Eje Central Lázaro Cárdenas y calle Vizcaínas,19.429058,-99.1416688,"19.429058,-99.1416688"
107,Eje 3 Ote. Ing. Eduardo Molina y Eje 5 Nte. San Juan de Aragón,19.4790176,-99.0978512,"19.4790176,-99.0978512"
108,Eje Central Lázaro Cárdenas y Eje 2 Norte Manuel González,19.4547986,-99.138347,"19.4547986,-99.138347"
109,"Circuito Interior, Río Churubusco y Canal de Apatlaco",19.3802567,-99.1012108,"19.3802567,-99.1012108"
110,"Anillo Periférico Oriente (Canal de Garay), Tlahuac y San Lorenzo",19.3184628,-99.075594,"19.3184628,-99.075594"
111,"Eje 4 Ote. Río Churubusco, Viaducto Río de la Piedad y Calz. Ignacio Zaragoza",19.4087992,-99.0770929,"19.4087992,-99.0770929"
112,Carretera Picacho Ajusco y Tekal,19.2838622,-99.2176066,"19.2838622,-99.2176066"
113,División del Norte y Eje 3 Amores,19.3909466,-99.1646925,"19.3909466,-99.1646925"
114,División del Norte y Eje 7 A Sur Zapata,19.3663913,-99.155555,"19.3663913,-99.155555"
115,División del Norte y Nicolás San Juan,19.3881382,-99.1622516,"19.3881382,-99.1622516"
116,M. Escobedo y Ejercito Nacional,19.438519,-99.183502,"19.438519,-99.183502"
